اسم الفيلم,تاريخ العرض,تصنيف الفيلم,مدة الفيلم (دقيقة),ملخص,تمثيل,تأليف,إنتاج,تصوير,مونتاج,ديكور,ملابس,موسيقى,إخراج,توزيع
وادي النجوم,1943,nan,120,عدل رءوف اخ هوه مغامره رحله احاط مطاف جزر بعيد عمران صادف قبيل ٱحتفل دق طبل احاط ابناء زينب مقيد رقص ٱستنجد بلغ مصري صمم عدل انقاذ دار صراع مخيف قبيل عدل رءوف ناحيه ٱنتهي صراع انقاذ زينب رجل رءيس قبيل تزعم سامر وصل مصر قدم زينب والد رحب ثني رحله عود شعر عدل عاطفه حب زينب فتاه انقذ عرض رغبه زواج والد توافق فاجا ليل زفاف ساحر وادي نجم جاء ٱسترداد زينب تعاون عدل رءوف خلص ساحر ٱنتهي امر زواج عدل,"عزيزة أمير,محمود ذو الفقار,سراج منير,محسن سرحان,بشارة واكيم,فردوس محمد,عبدالحميد زكي,أمينة شريف,سرينا إبراهيم,عزيزة بدر,محمد كامل,رشاد حامد,عبدة السروجي,حسن الإمام,نعيمة جمال","أحمد شكري,عزيزة أمير,محمود ذو الفقار","أفلام عزيزة أمير,رمسيس نجيب","وحيد فريد,مصطفى حسن,ستوديو نصيبيان","أميرة فايد,نيازي مصطفى,محمود ذو الفقار",شافنبرج,nan,"شافيه,عبدة السروجي,إبراهيم حسنين,فريد غصن,شهرزاد","محمد عبدالجواد,نيازي مصطفى",منتخبات بهنا فيلم
بياعة الورد,1943,nan,-,فيلم اللبنانيهوالذي ٱستكمل عمل مدي اربع بدء ظرف انتاجيهفبقي ناقصاوهو تعرض قصه حب رومانسي شابوفتاه واجه عديد عقبه ٱختلاف مستوي ٱجتماع,nan,nan,nan,nan,nan,nan,nan,nan,علي العريس,nan
الأبرياء,1944,nan,105,محسن شاب هوه رسم طباع رومانسي ميل فني عاش بيت جد بديع باشا قصر كبير فارغ ملا صخب حياه فكر محسن ٱستغلال قصر جد ايواء مشرد طفل ابرياء فعل نجح محسن ٱحتواء ماءي طفل بدا تعليم ٱهتمام اثار حنق جد حتي خير عيش قصر هءلاء طفل ٱحتفاظ بعيد قصر محسن قصر قطن منزل متواضع عمل ٱستطاع انفاق طفوله مشرد اهل ٱقتنع اسلوب حياه رفع امر قضاء دعوي حجر ٱتهام حماقه سفه محسن ٱستطاع يءمن حق عيش دافع طفل قضاء كسب دعوي خسر جد تكاتف طفل بدا جد عمل ٱمتثال محسن ٱستطاع مواطن صالح نجح طفل توفير نفقه حتي بدد ثروه محسن شعر محسن نجح رساله ٱستمر بحث طفل اخر قوم مجتمع,"حسين صدقي,رجاء عبده,زوزو ماضي,بشارة واكيم,عبدالعزيز أحمد,فؤاد الرشيدي,إبراهيم يونس,أجى درويش,علي رشدي,إبراهيم يوسف,نبوية مصطفى,فيكتوريا حبيقة,صوفي ديمتري","أحمد بدرخان,يوسف جوهر","ستوديو نصيبيان,أفلام مصر الحديثة ""حسين صدقي""","وحيد فريد,مصطفى حسن","كمال الشيخ,أميرة فايد","روبرت شارفنبرج,عباس حلمي",nan,"رياض السنباطي,محمد القضبجى,محمد صدقي,أحمد بدرخان,جليل البنداري","أحمد بدرخان,كامل مدكور","أفلام مصر الحديثة ""حسين صدقي"""
نادوجا,1944,nan,95,افقد خورشيد باشا ٱبنه نادي سودان سنه كبير طبيب نزح مصر سكرتير مراد اوصي بحث فراش موت لخورشيد باشا اقرب صهر ٱنتظر موت ورث مراد عزم بحث نادي حتي ثروه قريب حاول عاءله رضوان منع سفر بلا جدي شد مراد رحاله تابع الادغال اخير عثر اجنبي وسط غابه فتاه ابيض عاش وسط القباءل زعيم قبيل اقام ٱحتفال ثني هبط نادوجا نادي اعلي شجره عرف مراد اخذ مصر ارث عاءله رضوان ٱختطف وصول صدور حكم ميراث اخذ مراد بحث بقي موعد جلسه سوي دقاءق نجح نهايه عثور,"تحية كاريوكا,محمد البكار,فؤاد شفيق,إسماعيل يس,فردوس محمد,حسن كامل,عبدالعزيز أحمد,كامل الهجرسى,يحيى مراد,إبراهيم يونس,عبدالحليم القلعاوي,حسن عبدالجليل,زينب محمد,هارى فلمنج,جينا","عباس كامل,بديع خيري,حسين فوزي","نحّاس فيلم,ستوديو وهبى,ستوديو مصر,إميل يزبك","أحمد خورشيد,حسن داهش",ألبير نجيب,روبرت شارفنبرج,nan,"محمد البكار,محمد الكحلاوي,بيرم التونسي,أبو السعود الإبياري,تحية كاريوكا,فؤاد شفيق,إسماعيل يس","حسين فوزي,عباس كامل",nan
حبابة,1944,nan,110,عشق امير زايد جاري مربي ٱبن نجح حاشيه امير خليفه طيب حياه بحث حتي تمكن عثور تناول جاري مخلص سم حتي تسبب سيد متاعب اصاب خليفه صدمه توفي,"عزيزة أمير,محمود ذو الفقار,سراج منير,فردوس حسن,عبدالعزيز خليل,فردوس محمد,يحيى شاهين,صلاح ذو الفقار,أمينة شريف,عبدالعزيز أحمد,زوزو شكيب,فؤاد الرشيدي,نبوية مصطفى,شهرزاد","أحمد فتحي,أحمد رامي,نيازي مصطفى","عزيزة أمير,محمود ذو الفقار,ستوديو مصر","مصطفى حسن,ستوديو مصر",جلال مصطفى,nan,nan,"محمد الكحلاوي,محسن الصبحي,إبراهيم حسين,أحمد رامي,فريد غصن,محمد القصبجي",نيازي مصطفى,nan
وحيدة,1944,nan,110,وحيد فتاه بسيطه ربي منزل جليل هانم تعامل رفقه نظر خادم وحيد احب ممدوح ٱبن جليل هانم رفض علاقه تمام حاول حمايه ٱبن زيجه وحيد تزويج سعداوي قلب ممدوح مفاوضه ٱستسلم حزن حتي وقع فريسه للمرضلكن قلب ام رقي ٱستحلف وحيد قدم ٱبتعد طريق ممدوح حاول اعاده منزل بحث ممدوح امعان وفاء هرب وحيد حياه ممدوح جليل هانم سعداوي اخذ عزبه عدو اضمر شراء هاجم احرق مزرع هرب سعداوي طارد جماعه حتي نال تمكن قتل خضم الاحداثتصدم وحيد واقعهاالمءلم تفقد الذاكرهالا ممدوح كف بحث ساق قدر ساعد حال طبيعي تزوج اخير,"عبدالعزيز محمود,بدرية رأفت,بدر لاما,بشارة واكيم,محمود المليجي,سامى نعسان,بترو طنوس,علوية جميل,حسين عيسى,عبدالمنعم إسماعيل,السيد بدير,ليلى حلمى","أحمد رامي,السيد زيادة",كوندور فيلم,فيرى فاركاش (فرانسوا فاركاش),nan,nan,nan,رياض السنباطي,إبراهيم لاما,nan
رصاصة في القلب,1944,nan,120,محسن شاب مستهتر موظف ديوان وزاره حي فوضوي معروف داءم ٱستدانه حدث ٱلتقي فتاه محل جروبي جذب ٱنتباه برق جمال دكتور سامي ٱستلف مبلغ حكي فتاه احب ٱلتقي هٰذا فتاه عياده صديق سامي غني دويتو شهير حكيم ٱكتشف خطيب سامي صديق قريب ٱبتعد ابلي تعذر صديق شراء خاتم خطوبه هب محسن خاتم ثمين اغلي والد قدم صديق خطيب ٱحتاج مال شده انجي حجز مفروشات بيت ٱرتضي حجز عرف فتاه امر حجز راوند خاتم حتي فك حجز محسن عرف سامي حدث تاكد خطيب فتاه جروبي ٱبتعد طريق ابلي صداقه فاز محسن اخير,"محمد عبدالوهاب,راقية إبراهيم,سراج منير,إلهام حسين,علي الكسار,محمد عبدالقدوس,عبدالنبي محمد,زينب صدقي,فاتن حمامة,بشارة واكيم,حسن كامل,سيد سليمان,محمد فاضل,عبدالوارث عسر,ليلى فوزي,سامية جمال,ببا إبراهيم,لطفي الحكيم,علي حمامة","قدري محمود,محمد كريم,توفيق الحكيم","ستوديو مصر,افلام محمد عبدالوهاب",محمد عبدالعظيم,"إحسان فرغل,عبدالحميد امين",ولي الدين سامح,nan,محمد عبدالوهاب,محمد كريم,افلام محمد عبدالوهاب
عريس الهنا,1944,nan,95,تفاجء وديعه حجز بيت صارح ام حقيقه طلب تزوج شاب غني تسديد دين وديعه احب عبدالسلام ٱكتشف خيانه توافق تزوج ثري حامد ٱستكمل اجراء زواج بلع عروس احب مال عاش ٱنفصال وشيءا فشيءا شعر حب زوج حاول حامد ٱختبار اخلاص زوجه ارسل عبدالسلام بيت سرق منزل اطلق زوجه رصاص حامد تاكد اخلاص امر نظر حب دمع,"بشارة واكيم,عبدالعزيز محمود,محمد الديب,حسن فايق,بدر لاما,إسماعيل يس,نبوية مصطفى,فردوس محمد,بدرية رأفت,ثريا حلمي",إبراهيم لاما,"ستوديو لاما,كوندور فيلم",فيرى فاركاش (فرانسوا فاركاش),nan,nan,nan,nan,إبراهيم لاما,كوندور فيلم
برلنتى,1944,nan,109,كثير بدل تعاسه سعاده غامر فضل للقدرفعقب موت والد فتاه برلنتي ضيق سبيل حياه سقط ام مريض ٱضطر برلنتي عمل مطرب حتي تمكن علاج تزوج محامي سامي توالي حدث ري برلنتي حجر عثر سبيل نجاح سامي اضحي سمع حتي هجر صدق طرد تزوج فتاه سميح تطور حدث ٱتهم برلنتي قتل سامي ٱكتشف زوجه سميح قاتل تبرء محكمه برلنتي حكم سميح اصاب صدمه مات سامي برلنتي مره اخري ٱستانف حياه,"نور الهدى,يوسف وهبي,أمينة رزق,علوية جميل,فؤاد شفيق,محمود المليجي,عبدالعليم خطاب,فؤاد الرشيدي,عبدالسلام النابلسي,لطفي الحكيم,لطيفة نظمي,زينات صدقي,فتحية علي,عبدالحليم مرسى,توفيق إسماعيل,حسن البارودي,أحمد نجيب,محمد الكحلاوي,رياض القصبجي,محمود لطفي,إبراهيم حشمت",يوسف وهبي,nan,محمد عبدالعظيم,nan,nan,nan,nan,يوسف وهبي,nan
نور الدين والبحّاره الثلاثة,1944,nan,-,عاني عثمان عبدالباسط تدخل حامي حياه زوجه وداءما شكا مساعد محل الفطاءر ادار حتي نجح حامي وقيعه زوجه احال حياه جحيم فكر ٱنتحار عرض كره مساعد وافق شارك ٱنتحار بحر تنفيذ كره راوند بحار قاد رحله مركب جزر وقع مغامره داخل قصر امير جزيره حارب شرير رغب ٱستيلاء حكم جزيره خطف ٱبن امير جزيره عده موقف هزلي عثمان مساعد موقف طول امير نور دين ٱستطاع نور دين بحار ٱنتصر شرير انقذ امير جزيره ٱبنه احب نور دين ٱبن امير تزوج فكر بحار العوهده محل الفطي زوجه حامي مره اخري,"علي الكسار,إسماعيل يس,إبراهيم حمودة,ليلى فوزي,علي عبدالعال,زوزو نبيل,محمود المليجي,اجلال زكي,ثريا فخري,توفيق صادق,رياض القصبجي,فكرية سامى,محمد مصطفى,زكية إبراهيم,إبراهيم حشمت,محمد مصطفى سامي,عبدالغني النجدي,وداد حمدي,محمد شوقي,عبدالحميد بدوي,محمود شكوكو",توجو مزراحي (أحمد المشرقي),القومية للتوزيع والتجارة فيلم (طه زعفران طنطاوى),"مزراحى,عبدالحليم نصر",توجو مزراحي (أحمد المشرقي),عبدالحميد السخاوي,nan,"رياض السنباطي,إبراهيم حمودة,فتحي قورة","توجو مزراحي (أحمد المشرقي),حلمى إبراهيم",منتخبات بهنا فيلم
